Sentiment,Tweet
0,Fuck this economy. I hate aig and their non loan given asses.
0,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism"
0,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x"
0,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.
0,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
0,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.
0,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders
0,omg so bored &amp; my tattoooos are so itchy!!  help! aha =)
0,I'm itchy and miserable!
0,"@sekseemess no. I'm not itchy for now. Maybe later, lol."
0,cant sleep... my tooth is aching.
0,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess."
0,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"
0,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
0,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?
0,ShaunWoo hate'n on AiG
0,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.
0,omg. The commercials alone on ESPN are going to drive me nuts.
0,@morind45 Because the twitter api is slow and most client's aren't good.
0,yahoo answers can be a butt sometimes
0,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
0,needs someone to explain lambda calculus to him! :(
0,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.
0,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer."
0,Damn you North Korea. http://bit.ly/KtMeQ
0,Can we just go ahead and blow North Korea off the map already?
0,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl"
0,Why the hell is Pelosi in freakin China? and on whose dime?
0,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!"
0,insects have infected my spinach plant :(
0,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects
0,"just got back from church, and I totally hate insects."
0,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it
0,History exam studying ugh
0,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good..."
0,"Higher physics exam tommorow, not lookin forward to it much :("
0,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:("
0,Cheney and Bush are the real culprits - http://fwix.com/article/939496
0,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ
0,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg"
0,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)"
0,is Twitter's connections API broken? Some tweets didn't make it to Twitter...
0,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :("
0,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!
0,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL
0,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable
0,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.
0,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha
0,Time Warner cable is down again 3rd time since Memorial Day bummer!
0,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection."
0,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner
0,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!
0,time warner has the worse customer service ever. I will never use them again
0,Time warner is the devil. Worst possible time for the Internet to go out.
0,Fuck no internet damn time warner!
0,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.
0,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.
0,Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :)
0,Time Warner's HD line up is crap.
0,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!
0,Time Warner Cable slogan: Where calling it a day at 2pm Happens.
0,Recovering from surgery..wishing @julesrenner was here :(
0,"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!"
0,@kirstiealley my dentist is great but she's expensive...=(
0,my dentist was wrong... WRONG
0,Going to the dentist later.:|
0,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?
0,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?
0,The safeway bathroom still smells like ass!
0,"At safeway on elkhorn, they move like they're dead!"
0,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic
0,Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.
0,Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!
0,@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :)
0,OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.
0,"wth..i have never seen a line this loooong at time warner before, ugh."
0,Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon
0,Naive Bayes using EM for Text Classification. Really Frustrating...
0,"@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags"
0,Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.
0,#at&amp;t is complete fail.
0,@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU
0,@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal
0,"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)"
0,pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299
0,Safari 4 is fast :) Even on my shitty AT&amp;T tethering.
0,@ims What is AT&amp;T fucking up?
0,@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!
0,"@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T."
0,"Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8"
0,"@defsounds WTF is the point of deleting tweets if they can still be found in summize and searches? Twitter, please fix that. Thanks and bye"
0,The real AIG scandal / http://bit.ly/b82Px
0,LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750
0,Kobe is the best in the world not lebron .
0,I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :)
0,@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing.
0,itchy back!! dont ya hate it!
0,so tired. i didn't sleep well at all last night.
0,Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.
0,bonjour San Francisco. My back hurts from last night..
0,"F*** up big, or go home - AIG"
0,Malcolm Gladwell is a genius at tricking people into not realizing he's a fucking idiot
0,"@sportsguy33 hey no offense but malcolm gladwell is a pretenious, annoying cunt and he brings you down. cant read his shit"
0,i hate comcast right now. everything is down cable internet &amp; phone....ughh what am i to do
0,Comcast sucks.
0,The day I never have to deal with Comcast again will rank as one of the best days of my life.
0,@Dommm did comcast fail again??
0,curses the Twitter API limit
0,"Now I can see why Dave Winer screams about lack of Twitter API, its limitations and access throttles!"
0,Arg. Twitter API is making me crazy.
0,"#wolfram Alpha SUCKS! Even for researchers the information provided is less than you can get from #google or #wikipedia, totally useless!"
0,@Fraggle312 oh those are awesome! i so wish they weren't owned by nike :(
0,"arhh, It's weka bug. = ="" and I spent almost two hours to find that out. crappy me"
0,Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH
0,Wat the heck is North Korea doing!!??!! They just conducted powerful nuclear tests! Follow the link: http://www.msnbc.msn.com/id/30921379
0,Listening to Obama... Friggin North Korea...
0,"I just realized we three monkeys in the white Obama.Biden,Pelosi . Sarah Palin 2012"
0,@foxnews Pelosi should stay in China and never come back.
0,Nancy Pelosi gave the worst commencement speech I've ever heard. Yes I'm still bitter about this
0,ugh. the amount of times these stupid insects have bitten me. Grr..
0,Just got barraged by a horde of insects hungry for my kitchen light. So scary.
0,Math review. Im going to fail the exam.
0,Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly
0,obviously not siding with Cheney here: http://bit.ly/19j2d
0,saw night at the museum out of sheer desperation. who is funding these movies?
0,"Back from seeing 'Star Trek' and 'Night at the Museum.' 'Star Trek' was amazing, but 'Night at the Museum' was; eh."
0,It is a shame about GM. What if they are forced to make only cars the White House THINKS will sell? What do you think?
0,"As u may have noticed, not too happy about the GM situation, nor AIG, Lehman, et al"
0,@Pittstock $GM good riddance.  sad though.
0,"I Will NEVER Buy a Government Motors Vehicle: Until just recently, I drove GM cars. Since 1988, when I bought a .. http://tinyurl.com/lulsw8"
0,Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala
0,#RantsAndRaves The worst thing about GM (concord / pleasant hill / martinez): is the fucking UAW. ..   http://buzzup.com/4ueb
0,"Give a man a fish, u feed him for the day. Teach him to fish, u feed him for life. Buy him GM, and u F**K him over for good."
0,"The more I hear about this GM thing the more angry I get. Billions wasted, more bullshit. All for something like 40k employees and all the.."
0,@QuantTrader i own a GM car and it is junk as far as quality compared to a honda
0,sad day...bankrupt GM
0,is upset about the whole GM thing. life as i know it is so screwed up
0,whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs
0,#WFTB Joining a bit late. My connection was down (boo time warner)
0,Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C.
0,i am furious with time warner and their phone promotions!
0,Just got home from chick-fil-a with the boys. Damn my internets down =( stupid time warner
0,could time-warner cable suck more?  NO.
0,Pissed at Time Warner for causin me to have slow internet problems
0,"@sportsguy33 Ummm, having some Time Warner problems?"
0,You guys see this?  Why does Time Warner have to suck so much ass?  Really wish I could get U-Verse at my apartment. http://bit.ly/s594j
0,"RT @sportsguy33 The upside to Time Warner: unhelpful phone operators   superslow on-site service. Crap, that's not an upside."
0,"RT @sportsguy33: New Time Warner slogan: ""Time Warner, where we make you long for the days before cable."""
0,"confirmed: it's Time Warner's fault, not Facebook's, that fb is taking about 3 minutes to load. so tempted to switch to verizon =/"
0,@sportsguy33 Time Warner = epic fail
0,I know. How sad is that?  RT @caseymercier: 1st day of hurricane season. That's less scarey than govt taking over GM.
0,"GM files Bankruptcy, not a good sign..."
0,I hate the effing dentist.
0,@kirstiealley I hate going to the dentist.. !!!
0,i hate the dentist....who invented them anyways?
0,this dentist's office is cold :/
0,@ Safeway. Place is a nightmare right now. Bumming.
0,"HATE safeway select green tea icecream! bought two cartons, what a waste of money.  &gt;_&lt;"
0,argghhhh why won't  my jquery appear in safari bad safari !!!
0,"I can't watch TV without a Tivo.  And after all these years, the Time/Warner DVR  STILL sucks. http://www.davehitt.com/march03/twdvr.html"
0,I still love my Kindle2 but reading The New York Times on it does not feel natural. I miss the Bloomingdale ads.
0,"Although today's keynote rocked, for every great announcement, AT&amp;T shit on us just a little bit more."
0,"@sheridanmarfil - its not so much my obsession with cell phones, but the iphone!  i'm a slave to at&amp;t forever because of it. :)"
0,Fuzzball is more fun than AT&amp;T ;P http://fuzz-ball.com/twitter
0,"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass"
0,looks like summize has gone down. too many tweets from WWDC perhaps?
0,Man I kinda dislike Apple right now. Case in point: the iPhone 3GS. Wish there was a video recorder app. Please?? http://bit.ly/DZm1T
0,"dearest @google, you rich bastards! the VISA card you sent me doesn't work. why screw a little guy like me?"
0,Fighting with LaTex. Again...
0,@Iheartseverus we love you too and don't want you to die!!!!!!  Latex = the devil
0,"7 hours. 7 hours of inkscape crashing, normally solid as a rock. 7 hours of LaTeX complaining at the slightest thing. I can't take any more."
0,Shit's hitting the fan in Iran...craziness indeed #iranelection
0,Monday already. Iran may implode. Kitchen is a disaster. @annagoss seems happy. @sebulous had a nice weekend and @goldpanda is great. whoop.
0,"I just created my first LaTeX file from scratch. That didn't work out very well. (See @amandabittner , it's a great time waster)"
0,"On that note, I hate Word. I hate Pages. I hate LaTeX. There, I said it. I hate LaTeX. All you TEXN3RDS can come kill me now."
0,"Trouble in Iran, I see. Hmm. Iran. Iran so far away. #flockofseagullsweregeopoliticallycorrect"
0,Reading the tweets coming out of Iran... The whole thing is terrifying and incredibly sad...
0,@Apple GBP200 repair an #iPhone5 that died 4 mths out of warranty. The new phone comes with only 90 days warranty. Why?!?! #unhappycustomer
0,Mark #Zuckerberg Slams Tim #Cook: You Don't Care About Your Customers #fb #aapl http://t.co/HWDmpRoIgT http://t.co/58j6KPMIlI
0,Mark #Zuckerberg Slams Tim #Cook: You're Not In Alignment With Your Customers #fb #aapl http://t.co/HWDmpRoIgT http://t.co/YUIelx9q2J
0,@Apple 'deleted #iPod #music from rival services' http://t.co/a9VO9E0g5F
0,"@Apple, why I cannot alt+tab back to full screen app!? GRRRR! #usability"
0,@apple why the fuck when I leave my charger at home do I gotta start sending my goodbye texts at 10:09am?
0,RT @FaZeNikan: yea let me just pay 600 dollars for phone so it dies at 30% fix your shit @apple
0,@Facebook founder attacks @Apple boss over 'ridiculous' comments http://t.co/pverWexJv8
0,"Dear @Apple, I place all my browser eggs in the #Safari basket. Guess what? Safari is broken, please fix the release you pulled. #FAIL"
0,"Foxconn Robots Proving Unsuitable for iPhone Assembly, Updated Versions in the Works http://t.co/jSmVSN6v8r #AAPL"
0,What is the point of making an apt at @apple Genius Bar when you sit and wait for 40 min and counting?!
0,RT @ajhontucan: Your telling me there's no Santa Claus emoji? @Apple
0,@CharlesJMeyer @Apple @Appy_Geek Hasn't Apple been doing this for decades? This is why I don't support Apple. #apple #deletegame
0,@Swansonbirds @Apple @Appy_Geek it's definitely a bit frustrating as a consumer. I'm a big @apple supporter
0,Why I Hate #Apple. #aapl  http://t.co/inkCjYw0Lq
0,My @apple power cord caught on fire!   Yet another non-travelling power cord I have less than a year.  #AppleCordFire http://t.co/exC3Wz8CiD
0,What I find alarming about @Apple power cords is how quickly they fray.  I don't always notice when I don't travel with them. #AppleCordFire
0,"And if I leave my Mac plugged in when I leave the house, do I need to check the @Apple power cord every time?  #AppleCordFire"
0,And how about kids?  Do parents need to monitor the @Apple power cords daily to make sure they are still safe?  #AppleCordFire
0,"I was out to dinner last night and left my computer to charge.  Had the fire happened then, I'd have no house.  @Apple #AppleCordFire"
0,"Dear @Apple all I want for Xmas is for iOS 8 to stop crashing my iPad.  Signed, Cindy Lou Who of Whoville #apple"
0,Hey @Apple how can I take U2's album off my phone?
0,Apple Inc. Deleted Songs From Rival Services From iPods http://t.co/dQwDFpcc4x #AAPL
0,@apple the fact these itunes updates makes it anal to reset play counts sometimes yall do the mosttttt
0,Why is it so hard to reach / buy Suicide Squad comics at apple store in Turkey? @apple @DCComics @AppleTurkey
0,@apple how/why did my iCal undo 6 months of entries related to recurring date entries? they all re-set to 'pay CC'. i had changed to $amnt..
0,Just watched my dad struggle to answer a call because his #iPhone wouldn't let him answer. Great job on #iOS @Apple!!! Not...
0,@apple iCal AGAIN!!! it reset all my recurring in spite of months of individualizing each one per current date. #fail #icloud #sucking
0,Wanted the @apple iPhone 6 but that lighting charger made me go to an @windows @nokia 1020.
0,@allandthompson @Apple Let me just go ahead and get this one out of the way: 'U gonna get a VIRUS &amp; ur whole house will explode!'
0,"Zuckerberg attacks: If Apple really cared about customers, iPhones would cost less $AAPL #aapl
http://t.co/xG4cpjwXKH"
0,"My keyboard only ever freezes up when I'm trying to talk to Ian, @apple why do u hate the sophian"
0,"2nd day with my new iPhone, WTF @Apple ?!
In switching to @SamsungMobileUS http://t.co/Vz95pDWzEe"
0,Wut? @apple can I have my money back? kthx http://t.co/zVp7MUZDAM
0,took me an hour (half of it was decided in a bubble bath) that I cannot download iOS 8. I hate you @apple @EE
0,@calemcmartin blame @apple
0,why don't we have harry potter emojis please work on this @Apple
0,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
0,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
0,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
0,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
0,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
0,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
0,@apple had a dream last night where I downgraded my #iPhone to a 4S and spent the rest of the dream trying to figure out what to do. #shame
0,@apple IOS8 is still shit
0,"@marxculture @AppleUK_  Thanks, I'll keep it in mind. Tho, I've lately been so unhappy with everything @apple that I'm moving away from them"
0,@daulfn @AppleUK_ @Apple I have a Windows lappy which works well and was half the price of the alternative
0,@Apple: Apple ID should ALWAYS b able to b set up w/out cred card/PayPal/gift card attach to it. You'll still get your $ if they buy. #fail
0,RT @cruci0btch: why don't we have harry potter emojis please work on this @Apple
0,@Apple admits deleting rival music store tracks from iPods | Apple | http://t.co/DPH21dL8K3 http://t.co/GEAgJUuRSO
0,"Is it just me, who feels #Yosemite eats more battery &amp; Resource than #Mavericks?  @Apple are you reading this?"
0,@apple u used to b cool what happened
0,IT &amp; marketing systems @AmericanExpress cause headaches as card holders with @Apple Pay are being opted in for promotions without permission
0,..@facebook founder @MarkZuckerberg attacks @apple boss @TimCook over 'ridiculous' comments about ads http://t.co/fNKDDbfLzV
0,"@ATTCares @senisbs Wireless Family Share plan, one line upgrade just killed my discount. Not sure it was mentioned on @Apple pre-order page."
0,itunes is awful &amp; is ruining my life fix your shit @apple
0,"#Forget @Apple [#Apple]'s #iPhone and @SamsungMobileUS #Samsung's Galaxy, the #humble flip phone is back. (#Frid... http://t.co/6CiLI9sCw6"
0,#AAPL:Why can't Apple meet demand for the iPhone 6?...http://t.co/200wqsCPaG
0,"had soo many iPhones and never had a problem, smashed 2 screens in 3 months with this 6 @apple u can suck my balls"
0,"RT @taraluv_: had soo many iPhones and never had a problem, smashed 2 screens in 3 months with this 6 @apple u can suck my balls"
0,Is there ever going to be a moment y'all are going to fix the battery? Mine goes from 100% to 22% in an hour. @apple
0,"#Why #can't @Apple [#Apple] meet demand for the #iPhone6?. (#Friday, 5 #December) http://t.co/dCKe05pVa4"
0,Paid $20 for a new 5 charger and couldn't  b more pissed about it... this is rape @apple
